Title of wiki page,Number of tokens,Number of links,Ecuadors insekter
Canadian Bacon,551,41,False
Gracililamia,485,37,True
Herman Storm,233,14,False
Robbert Kemperman,295,17,False
Hovorestenia,473,36,True
Mudderflate,231,11,False
Den katolske opplysningstiden,197,6,False
Cyclocephala porioni,495,32,True
Allophileurinus,368,25,True
Eideria,362,31,True
Torbjørn Lysebo Ekelund,164,4,False
RoRo-skip,143,4,False
Dumrianhatt,817,83,False
Vindfløy,440,18,False
Methicula,459,36,True
Cantharolethrus steinheili,485,31,True
Ernst Brandenburger,399,29,False
Anathesis,496,22,False
Ospestien (Oslo),360,13,False
Aleksandr Maltsev,572,85,False
Pseudautomeris lata,493,37,True
Janusfabrikken,598,38,False
Sphaenognathus feisthamelii,516,35,True
Fort Stanwix-avtalen,683,42,False
Sentralpasskontoret,306,18,False
Naevolus orius,426,48,True
The Best of Me (Eldøen-album),235,9,False
Inca clathrata,542,30,True
Acanthops falcataria,440,39,True
Zalophia,484,39,True
Hemilomecopterus,468,36,True
Okamira,476,34,True
François Vergucht,267,31,False
Quirimbaua,475,35,True
Acaiu,480,32,True
Vegkryss,159,5,False
Dorothy Hodgkin,167,5,False
Girl In Oslo EP,604,88,False
Trizogeniates ohausi,424,34,True
Erioscelis emarginata,511,32,True
Leifene,551,61,False
Nora Plau,588,51,False
Guristuveien (Oslo),533,25,False
Li Zhuoran,179,5,False
Jack Davenport,496,26,False
Neroforordningen,768,36,False
Robert Cambert,543,29,False
Orchestia miranda,130,3,False
"Athena, prinsesse av Danmark",142,2,False
São Roque de Minas,713,11,False
Phimosia,497,38,True
Arietocometes,518,44,True
Naturkraft,379,12,False
Coilodera,418,40,False
Anyang-perioden,224,9,False
Eivind Bratseth,495,29,False
MF «Smyril»,934,36,False
Bongani Khumalo,442,30,False
Pachymerola,474,37,False
Maarten Vandevoordt,278,10,False
Gibboryctes gracilicornis,462,30,True
Heterogomphus hirtus,510,29,True
Hedvig Tamm,229,23,False
Coat of Arms,910,43,False
Cyclocephala aequatoria,530,36,True
Snøfall (TV-serie),912,52,False
Cyclocephala atripes,475,32,True
Gnathogolofa,485,29,True
Lasiolepturges,504,41,True
Herbert Wehner,594,44,False
Podischnus oberthuri,481,30,True
Bothrocerambyx,516,38,True
Marikia,471,24,True
Miguellus,512,34,True
Quirimbaua,475,35,True
Cyclocephala nigropicta,475,32,True
Australia-gruppen,301,59,False
Flystyrt,152,5,False
Alvarinus,419,38,True
Wilmersdorfer Straße undergrunnsstasjon,318,12,False
Lions Clubs International,841,9,False
Aspidolea cognata,457,28,True
Tyssedalsvassdraget,150,5,False
Pseudautomeris chinchipensis,476,26,True
Trizogeniates calcaratus,417,31,True
Gojong,155,4,False
Abauba,506,43,True
Alical,498,35,True
Joseph Vaz,901,34,False
Paul Gauguin,430,29,False
Kjell Steinsvik,502,21,False
Cupecuara,509,43,True
John Peter Hernes,384,20,False
Onorelucanus aequatorianus,473,30,True
Otto Suhr,774,51,False
Njagan,329,19,False
Klaus Theweleit,795,46,False
Roberto Ferreiro,185,8,False
Fastlife,215,8,False
Irundiaba,517,37,True
Mati Sirkel,287,23,False
Torsten Tegnér,668,34,False
Golofa gaujoni,449,28,True
Homophileurus waldenfelsi,573,32,True
Tatjana Kotova,572,56,False
Golofa claviger,425,30,True
Nurk Twins,686,53,False
Lyststedet Bellevue,530,28,False
Mihály Fülöp,273,35,False
Aegus (s.str.) selene,525,29,False
Sidney Sheldon,542,45,False
Heteronyssicus,573,41,True
Hypergeometrisk fordeling,810,5,False
Pseudoeriphus,501,43,True
Zathecus,463,39,True
Acapiata,481,32,True
Affiks,230,8,False
Gotha G.I,431,16,False
Richard Durbin,286,33,False
Espen Steffensen,501,19,False
The DUFF,489,55,False
The Game of Death,155,4,False
Heterogomphus rugicollis,500,31,True
